HMDB_ID	origin	Formula	Neutral mass	mz	md	inclusion
HMDB31806	Endogenous	C4H7Br2Cl2O4P	377.7825759	378.7898525	0.789852532	y
HMDB00280	Endogenous	C5H13O14P3	389.9518147	390.9590913	0.95909126	y
HMDB01143	Endogenous	C6H15O15P3	419.9623793	420.9696559	0.969655946	y
HMDB01498	Endogenous	C6H15O15P3	419.9623793	420.9696559	0.969655946	y
HMDB03474	Endogenous	C9H9I2NO3	432.86718	433.8744566	0.874456599	y
HMDB00998	Endogenous	C9H16N3O13P3	466.9895971	467.9968737	0.996873749	y
HMDB01191	Endogenous	C9H15N2O14P3	467.9736127	468.9808893	0.980889334	y
HMDB04112	Endogenous	C10H14N5O10PSe	474.96435	475.9716266	0.971626633	y
HMDB37520	Food	C12H6Br4O	481.7152154	482.722492	0.722492002	y
HMDB37547	Food	C12H6Br4O	481.7152154	482.722492	0.722492002	y
HMDB01342	Endogenous	C10H17N2O14P3	481.9892628	482.9965394	0.996539398	y
HMDB00082	Endogenous	C9H16N3O14P3	482.9845118	483.9917884	0.991788371	y
HMDB00285	Endogenous	C9H15N2O15P3	483.9685274	484.975804	0.975803956	y
HMDB01219	Endogenous	C10H2Cl10O	487.6990918	488.7063684	0.706368356	y
HMDB03537	Endogenous	C10H15N4O13P3	491.9848461	492.9921227	0.992122722	y
HMDB01059	Endogenous	C6H16O18P4	499.9287098	500.9359864	0.935986356	y
HMDB01187	Endogenous	C6H16O18P4	499.9287098	500.9359864	0.935986356	y
HMDB03848	Endogenous	C6H16O18P4	499.9287098	500.9359864	0.935986356	y
HMDB04527	Endogenous	C6H16O18P4	499.9287098	500.9359864	0.935986356	y
HMDB01134	Endogenous	C10H15N5O13P2S	506.9862293	507.9935059	0.993505905	y
HMDB00189	Endogenous	C10H15N4O14P3	507.9797607	508.9870373	0.987037344	y
HMDB02206	Endogenous	C10H12MoN5O8PS2	522.8918981	523.8991747	0.899174723	y
HMDB01273	Endogenous	C10H16N5O14P3	522.9906598	523.9979364	0.997936381	y
HMDB11615	Endogenous	C10H16N5O14P3	522.9906598	523.9979364	0.997936381	y
HMDB00293	Endogenous	C10H15N4O15P3	523.9746754	524.981952	0.981951966	y
HMDB00582	Endogenous	C15H13I2NO4	524.8933947	525.9006713	0.900671349	y
HMDB05869	Endogenous	C15H13I2NO4	524.8933947	525.9006713	0.900671349	y
HMDB29855	Endogenous	C20H14N2O10S3	537.9810567	538.9883333	0.988333348	y
HMDB12261	Endogenous	C10H12MoN5O7PS3	538.8690542	539.8763308	0.876330791	y
HMDB11104	Endogenous	C10H15N5O13P2Se	554.9306804	555.937957	0.937957043	y
