"...1","mz","mzmin","mzmax","MD"
"CP033",193.083648681641,193.077880859375,193.087966918945,0.0836486816409945
"CP034",195.100402832031,195.096008300781,195.104797363281,0.100402832030994
"CP035",197.078598022461,197.072662353516,197.083053588867,0.0785980224609943
"CP036",197.115615844727,197.109664916992,197.120071411133,0.115615844726989
"CP037",200.236999511719,200.230911254883,200.241561889648,0.236999511719006
"CP038",207.100509643555,207.094100952148,207.10530090332,0.100509643555
"CP039",209.078002929688,209.071517944336,209.082870483398,0.0780029296880116
"CP040",211.093887329102,211.087310791016,211.098831176758,0.0938873291019888
"CP041",221.114990234375,221.107925415039,221.12028503418,0.114990234375
"CP042",223.064590454102,223.059219360352,223.069946289062,0.0645904541019888
"CP043",223.094375610352,223.087219238281,223.099746704102,0.0943756103519888
"CP044",225.042999267578,225.035751342773,225.048431396484,0.0429992675780113
"CP045",228.269134521484,228.261734008789,228.274688720703,0.269134521484006
"CP046",230.248352050781,230.240859985352,230.253982543945,0.248352050780994
"CP047",231.120880126953,231.113327026367,231.126525878906,0.120880126953011
"CP048",235.130584716797,235.122833251953,235.136383056641,0.130584716796989
"CP049",237.109558105469,237.101852416992,237.115447998047,0.109558105469006
"CP050",239.088195800781,239.080261230469,239.096145629883,0.0881958007809942
"CP051",239.12580871582,239.117874145508,239.131759643555,0.12580871582
"CP052",240.269729614258,240.26171875,240.275726318359,0.269729614258011
"CP053",241.14143371582,241.133392333984,241.1474609375,0.14143371582
"CP054",251.089813232422,251.081268310547,251.096221923828,0.0898132324219887
"CP055",251.125595092773,251.117050170898,251.13200378418,0.125595092773011
"CP056",253.105377197266,253.096725463867,253.111862182617,0.105377197265994
"CP057",255.121368408203,255.11262512207,255.127944946289,0.121368408203011
"CP058",256.265106201172,256.256286621094,256.271728515625,0.265106201171989
"CP059",257.1728515625,257.166198730469,257.179473876953,0.1728515625
"CP060",258.279113769531,258.270202636719,258.285797119141,0.279113769531023
"CP061",259.282592773438,259.273620605469,259.289306640625,0.282592773438012
"CP062",263.089630126953,263.080474853516,263.096496582031,0.0896301269530113
"CP063",265.106597900391,265.097351074219,265.113555908203,0.106597900391023
"CP064",267.119873046875,267.110504150391,267.126892089844,0.119873046875
"CP065",267.267608642578,267.258209228516,267.274627685547,0.267608642578011
"CP066",269.135467529297,269.1259765625,269.142578125,0.135467529296989
"CP067",271.115875244141,271.106292724609,271.123077392578,0.115875244141023
"CP068",271.188079833984,271.178466796875,271.195251464844,0.188079833983977
"CP069",272.257934570312,272.248291015625,272.265197753906,0.257934570311988
"CP070",273.167205810547,273.159912109375,273.174468994141,0.167205810546989
"CP071",273.222564697266,273.212890625,273.229858398438,0.222564697266023
"CP072",274.273895263672,274.264129638672,274.281219482422,0.273895263671989
